212,Ascend-PPP-Async-Map
213,Ascend-Third-Prompt
214,Ascend-Send-Secret
215,Ascend-Receive-Secret
216,Ascend-IPX-PeerMode
217,Ascend-IP-Pool-Definition
218,Ascend-Assign-IP-Pool
219,Ascend-FR-Direct
220,Ascend-FR-Direct-Profile
221,Ascend-FR-Direct-DLCI
222,Ascend-Handle-IPX
223,Ascend-Netware-Timeout
224,Ascend-IPX-Alias
225,Ascend-Metric
226,Ascend-PRI-Number-Type
227,Ascend-Dial-Number
228,Ascend-Route-IP
229,Ascend-Route-IPX
230,Ascend-Bridge
231,Ascend-Send-Auth
232,Ascend-Send-Passwd
233,Ascend-Link-Compression
234,Ascend-Target-Util
235,Ascend-Maximum-Channels
236,Ascend-Inc-Channel-Count
237,Ascend-Dec-Channel-Count
238,Ascend-Seconds-Of-History
239,Ascend-History-Weigh-Type
240,Ascend-Add-Seconds
241,Ascend-Remove-Seconds
242,Ascend-Data-Filter
243,Ascend-Call-Filter
244,Ascend-Idle-Limit
245,Ascend-Preempt-Limit
246,Ascend-Callback
247,Ascend-Data-Svc
248,Ascend-Force56
249,Ascend-Billing-Number
250,Ascend-Call-By-Call
251,Ascend-Transit-Number
252,Ascend-Host-Info
253,Ascend-PPP-Address
254,Ascend-MPP-Idle-Percent
255,Ascend-Xmit-Rate
4096,Saved-Radius-Framed-IP-Address
4097,Saved-Radius-Callback-Number
4098,NP-Calling-Station-ID
4099,Saved-NP-Calling-Station-Id
4100,Saved-Radius-Framed-Route
4101,Ignore-User-Dialin-Properties
4102,Day-And-Time-Restrictions
4103,NP-Called-Station-ID
4104,NP-Allowed-Port-Types
4105,NP-Authentication-Type
4106,NP-Allowed-EAP-Type
4107,Shared-Secret
4108,Client-IP-Address
4109,Client-Packet-Header
4110,Token-Groups
4111,NP-Allow-Dial-in
4112,Request-ID
4113,Manipulation-Target
4114,Manipulation-Rule
4115,Original-User-Name
4116,NAS-Manufacturer
4117,Client-UDP-Port
4118,MS-CHAP-Challenge
4119,MS-CHAP-Response
4120,MS-CHAP-Domain
4121,MS-CHAP-Error
4122,MS-CHAP-CPW-1
4123,MS-CHAP-CPW-2
4124,MS-CHAP-LM-Enc-PW
4125,MS-CHAP-NT-Enc-PW
4126,MS-CHAP-MPPE-Keys
4127,Authentication-Type
4128,Client-Friendly-Name
4129,SAM-Account-Name
4130,Fully-Qualified-User-Name
4131,Windows-Groups
4132,EAP-Friendly-Name
4133,Auth-Provider-Type
4134,MS-Acct-Auth-Type
4135,MS-Acct-EAP-Type
4136,Packet-Type
4137,Auth-Provider-Name
4138,Acct-Provider-Type
4139,Acct-Provider-Name
4140,MS-MPPE-Send-Key
4141,MS-MPPE-Recv-Key
4142,Reason-Code
4143,MS-Filter
4144,MS-CHAP2-Response
4145,MS-CHAP2-Success
4146,MS-CHAP2-CPW
4147,MS-RAS-Vendor
4148,MS-RAS-Version
4149,NP-Policy-Name
4150,MS-Primary-DNS-Server
