ID,Attribute,Data type,Represents
118,Ascend-Route-Appletalk,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
119,Ascend-FCP-Parameter,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
120,Ascend-Modem-Port-No,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
121,Ascend-Modem-Slot-No,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
122,Ascend-Modem-Shelf-No,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
123,Ascend-CallAttempt-Limit,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
124,Ascend-CallBlock-Duration,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
125,Ascend-Maximum-Call-Duration,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
126,Ascend-Route-Preference,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
127,Ascend-Tunneling-Protocol,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
128,Ascend-Shared-Profile-Enable,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
129,Ascend-Primary-Home-Agent,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
130,Ascend-Secondary-Home-Agent,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
131,Ascend-Dialout-Allowed,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
132,Ascend-Client-Gateway,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
133,Ascend-BACP-Enable,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
134,Ascend-DHCP-Maximum-Leases,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
135,Ascend-Client-Primary-DNS,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
136,Ascend-Client-Secondary-DNS,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
137,Ascend-Client-Assign-DNS,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
138,Ascend-User-Acct-Type,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
139,Ascend-User-Acct-Host,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
140,Ascend-User-Acct-Port,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
141,Ascend-User-Acct-Key,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
142,Ascend-User-Acct-Base,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
143,Ascend-User-Acct-Time,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
144,Ascend-Assign-IP-Client,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
145,Ascend-Assign-IP-Server,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
146,Ascend-Assign-IP-Global-Pool,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
147,Ascend-DHCP-Reply,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
148,Ascend-DHCP-Pool-Number,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
149,Ascend-Expect-Callback,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
150,Ascend-Event-Type,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
151,Ascend-Session-Svr-Key,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
152,Ascend-Multicast-Rate-Limit,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
153,Ascend-IF-Netmask,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
154,Ascend-Remote-Addr,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
155,Ascend-Multicast-Client,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
156,Ascend-FR-Circuit-Name,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
157,Ascend-FR-Link-Up,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
158,Ascend-FR-Nailed-Grp,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
159,Ascend-FR-Type,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
160,Ascend-FR-Link-Mgt,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
161,Ascend-FR-N391,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
162,Ascend-FR-DCE-N392,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
163,Ascend-FR-DTE-N392,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
164,Ascend-FR-DCE-N393,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
165,Ascend-FR-DTE-N393,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
166,Ascend-FR-T391,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
167,Ascend-FR-T392,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
168,Ascend-Bridge-Address,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
169,Ascend-TS-Idle-Limit,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
170,Ascend-TS-Idle-Mode,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
171,Ascend-DBA-Monitor,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
172,Ascend-Base-Channel-Count,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
173,Ascend-Minimum-Channels,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
174,Ascend-IPX-Route,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
175,Ascend-FT1-Caller,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
176,Ascend-Backup,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
177,Ascend-Call-Type,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
178,Ascend-Group,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
179,Ascend-FR-DLCI,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
180,Ascend-FR-Profile-Name,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
181,Ascend-Ara-PW,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
182,Ascend-IPX-Node-Addr,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
183,Ascend-Home-Agent-IP-Addr,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
184,Ascend-Home-Agent-Password,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
185,Ascend-Home-Network-Name,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
186,Ascend-Home-Agent-UDP-Port,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
187,Ascend-Multilink-ID,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
188,Ascend-Num-In-Multilink,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
189,Ascend-First-Dest,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
190,Ascend-Pre-Input-Octets,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
191,Ascend-Pre-Output-Octets,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
192,Ascend-Pre-Input-Packets,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
193,Ascend-Pre-Output-Packets,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
194,Ascend-Maximum-Time,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
195,Ascend-Disconnect-Cause,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
196,Ascend-Connect-Progress,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
197,Ascend-Data-Rate,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
198,Ascend-Pre-Session-Time,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
199,Ascend-Token-Idle,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
200,Ascend-Token-Immediate,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
201,Ascend-Require-Auth,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
202,Ascend-Number-Sessions,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
203,Ascend-Authen-Alias,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
204,Ascend-Token-Expiry,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
205,Ascend-Menu-Selector,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
206,Ascend-Menu-Item,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
207,Ascend-PW-Warntime,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
208,Ascend-PW-Lifetime,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
209,Ascend-IP-Direct,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
210,Ascend-PPP-VJ-Slot-Comp,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
211,Ascend-PPP-VJ-1172,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
212,Ascend-PPP-Async-Map,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
213,Ascend-Third-Prompt,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
214,Ascend-Send-Secret,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
215,Ascend-Receive-Secret,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
216,Ascend-IPX-PeerMode,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
217,Ascend-IP-Pool-Definition,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
218,Ascend-Assign-IP-Pool,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
219,Ascend-FR-Direct,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
220,Ascend-FR-Direct-Profile,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
221,Ascend-FR-Direct-DLCI,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
222,Ascend-Handle-IPX,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
223,Ascend-Netware-Timeout,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
224,Ascend-IPX-Alias,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
225,Ascend-Metric,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
226,Ascend-PRI-Number-Type,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
227,Ascend-Dial-Number,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
228,Ascend-Route-IP,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
229,Ascend-Route-IPX,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
230,Ascend-Bridge,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
231,Ascend-Send-Auth,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
232,Ascend-Send-Passwd,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
233,Ascend-Link-Compression,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
234,Ascend-Target-Util,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
235,Ascend-Maximum-Channels,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
236,Ascend-Inc-Channel-Count,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
237,Ascend-Dec-Channel-Count,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
238,Ascend-Seconds-Of-History,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
239,Ascend-History-Weigh-Type,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
240,Ascend-Add-Seconds,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
241,Ascend-Remove-Seconds,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
242,Ascend-Data-Filter,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
243,Ascend-Call-Filter,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
244,Ascend-Idle-Limit,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
245,Ascend-Preempt-Limit,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
246,Ascend-Callback,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
247,Ascend-Data-Svc,,"The vendor-specific attributes for Ascend. For more information, see the Ascend documentation."
